CaseID,Activity,CompleteTimestamp,CumTimeInterval
6,Activity F,1970-01-01 17:00:00,28800.0
7,Activity A,1970-01-01 09:00:00,0.0
7,Activity B,1970-01-01 10:00:00,3600.0
7,Activity C,1970-01-01 11:00:00,7200.0
7,,,
7,Activity E,1970-01-01 13:00:00,14400.0
7,,,
7,Activity M,1970-01-01 14:00:00,18000.0
7,Activity K,1970-01-01 14:00:00,18000.0
7,Activity J,1970-01-01 15:00:00,21600.0
7,,1970-01-01 15:00:00,21600.0
7,Activity N,,
7,Activity L,1970-01-01 15:00:00,21600.0
7,,1970-01-01 16:00:00,25200.0
7,Activity F,1970-01-01 17:00:00,28800.0
8,Activity A,1970-01-01 09:00:00,0.0
8,Activity B,,
8,,1970-01-01 11:00:00,7200.0
8,Activity D,1970-01-01 12:00:00,10800.0
8,Activity E,,
8,Activity K,1970-01-01 14:00:00,18000.0
8,,1970-01-01 14:00:00,18000.0
8,,1970-01-01 14:00:00,18000.0
8,Activity L,,
8,Activity N,,
8,,1970-01-01 15:00:00,21600.0
8,Activity J,1970-01-01 15:00:00,21600.0
8,,1970-01-01 16:00:00,25200.0
8,Activity F,,
9,Activity A,1970-01-01 09:00:00,0.0
9,,1970-01-01 10:00:00,3600.0
9,Activity C,,
9,Activity D,,
9,Activity E,1970-01-01 13:00:00,14400.0
9,,1970-01-01 14:00:00,18000.0
9,Activity K,,
9,Activity G,1970-01-01 14:00:00,18000.0
9,Activity N,1970-01-01 15:00:00,21600.0
9,,1970-01-01 15:00:00,21600.0
9,Activity J,1970-01-01 15:00:00,21600.0
9,,,
9,,,
9,,,
10,Activity A,,
10,,,
10,,,
10,,1970-01-01 12:00:00,10800.0
10,,,
10,Activity K,,
10,Activity G,1970-01-01 14:00:00,18000.0
10,,1970-01-01 14:00:00,18000.0
10,Activity L,,
10,,1970-01-01 15:00:00,21600.0
10,Activity J,1970-01-01 15:00:00,21600.0
10,,1970-01-01 15:00:00,21600.0
10,Activity H,,
10,Activity F,,
11,,,
11,Activity B,1970-01-01 10:00:00,3600.0
11,Activity C,,
11,,,
11,Activity E,1970-01-01 13:00:00,14400.0
11,,1970-01-01 14:00:00,18000.0
11,,,
11,Activity G,1970-01-01 14:00:00,18000.0
11,Activity L,1970-01-01 15:00:00,21600.0
11,Activity N,,
11,Activity I,1970-01-01 15:00:00,21600.0
11,,,
11,Activity H,1970-01-01 16:00:00,25200.0
11,Activity F,1970-01-01 17:00:00,28800.0
12,Activity A,,
12,Activity B,1970-01-01 10:00:00,3600.0
12,Activity C,1970-01-01 11:00:00,7200.0
12,,1970-01-01 12:00:00,10800.0
12,,1970-01-01 13:00:00,14400.0
12,Activity K,1970-01-01 14:00:00,18000.0
12,Activity M,,
12,Activity G,,
12,Activity L,1970-01-01 15:00:00,21600.0
12,,1970-01-01 15:00:00,21600.0
12,Activity J,1970-01-01 15:00:00,21600.0
12,Activity I,1970-01-01 15:00:00,21600.0
12,,1970-01-01 16:00:00,25200.0
12,Activity F,1970-01-01 17:00:00,28800.0
13,Activity A,,
13,,,
13,Activity C,1970-01-01 11:00:00,7200.0
13,Activity D,,
13,Activity E,1970-01-01 13:00:00,14400.0
13,,,
13,Activity K,,
13,Activity M,,
13,Activity J,,
13,Activity I,,
13,Activity L,1970-01-01 15:00:00,21600.0
13,,1970-01-01 15:00:00,21600.0
13,Activity H,1970-01-01 16:00:00,25200.0
13,Activity F,1970-01-01 17:00:00,28800.0
14,,1970-01-01 09:00:00,0.0
14,Activity B,1970-01-01 10:00:00,3600.0
14,Activity C,,
14,Activity D,1970-01-01 12:00:00,10800.0
14,Activity E,1970-01-01 13:00:00,14400.0
14,Activity G,1970-01-01 14:00:00,18000.0
14,,,
14,,1970-01-01 14:00:00,18000.0
14,Activity J,1970-01-01 15:00:00,21600.0
14,Activity I,1970-01-01 15:00:00,21600.0
14,,1970-01-01 15:00:00,21600.0
14,Activity N,1970-01-01 15:00:00,21600.0
14,Activity H,,
14,,,
15,,1970-01-01 09:00:00,0.0
15,,1970-01-01 10:00:00,3600.0
15,,,
15,Activity D,1970-01-01 12:00:00,10800.0
15,Activity E,,
15,,,
15,Activity G,1970-01-01 14:00:00,18000.0
15,Activity M,1970-01-01 14:00:00,18000.0
15,,1970-01-01 15:00:00,21600.0
15,Activity I,1970-01-01 15:00:00,21600.0
15,Activity J,,
15,Activity N,1970-01-01 15:00:00,21600.0
15,,,
15,,1970-01-01 17:00:00,28800.0
16,,1970-01-01 09:00:00,0.0
16,,1970-01-01 10:00:00,3600.0
16,Activity C,,
16,Activity D,1970-01-01 12:00:00,10800.0
16,,1970-01-01 13:00:00,14400.0
16,Activity M,,
16,Activity G,1970-01-01 14:00:00,18000.0
16,Activity K,1970-01-01 14:00:00,18000.0
16,Activity N,,
16,Activity I,,
16,Activity J,1970-01-01 15:00:00,21600.0
16,Activity L,1970-01-01 15:00:00,21600.0
16,,1970-01-01 16:00:00,25200.0
16,Activity F,1970-01-01 17:00:00,28800.0
17,Activity A,1970-01-01 09:00:00,0.0
17,Activity B,1970-01-01 10:00:00,3600.0
17,Activity C,1970-01-01 11:00:00,7200.0
17,Activity D,1970-01-01 12:00:00,10800.0
17,Activity E,,
17,Activity G,1970-01-01 14:00:00,18000.0
17,Activity K,1970-01-01 14:00:00,18000.0
17,,1970-01-01 14:00:00,18000.0
17,,1970-01-01 15:00:00,21600.0
17,Activity I,1970-01-01 15:00:00,21600.0
17,Activity L,1970-01-01 15:00:00,21600.0
17,Activity N,1970-01-01 15:00:00,21600.0
17,Activity H,1970-01-01 16:00:00,25200.0
17,Activity F,1970-01-01 17:00:00,28800.0
18,Activity A,1970-01-01 09:00:00,0.0
18,,1970-01-01 10:00:00,3600.0
18,Activity C,,
18,Activity D,,
18,,1970-01-01 13:00:00,14400.0
18,,1970-01-01 14:00:00,18000.0
18,Activity M,,
18,Activity K,1970-01-01 14:00:00,18000.0
18,Activity J,1970-01-01 15:00:00,21600.0
18,Activity I,1970-01-01 15:00:00,21600.0
18,,1970-01-01 15:00:00,21600.0
18,,1970-01-01 15:00:00,21600.0
18,Activity H,,
18,Activity F,1970-01-01 17:00:00,28800.0
19,Activity A,1970-01-01 09:00:00,0.0
19,Activity B,1970-01-01 10:00:00,3600.0
19,Activity C,1970-01-01 11:00:00,7200.0
19,Activity D,1970-01-01 12:00:00,10800.0
19,Activity E,1970-01-01 13:00:00,14400.0
19,Activity M,,
19,,,
19,Activity G,,
19,Activity N,1970-01-01 15:00:00,21600.0
19,,1970-01-01 15:00:00,21600.0
19,Activity J,1970-01-01 15:00:00,21600.0
19,Activity I,1970-01-01 15:00:00,21600.0
19,,1970-01-01 16:00:00,25200.0
19,,1970-01-01 17:00:00,28800.0
20,Activity A,1970-01-01 09:00:00,0.0
20,,1970-01-01 10:00:00,3600.0
20,Activity C,1970-01-01 11:00:00,7200.0
20,,1970-01-01 12:00:00,10800.0
20,Activity E,1970-01-01 13:00:00,14400.0
20,Activity G,1970-01-01 14:00:00,18000.0
20,Activity M,,
20,Activity K,,
20,Activity J,1970-01-01 15:00:00,21600.0
20,,1970-01-01 15:00:00,21600.0
20,,,
20,Activity L,,
20,Activity H,1970-01-01 16:00:00,25200.0
20,,,
21,Activity A,1970-01-01 09:00:00,0.0
21,,1970-01-01 10:00:00,3600.0
21,Activity C,1970-01-01 11:00:00,7200.0
21,Activity D,1970-01-01 12:00:00,10800.0
21,Activity E,,
21,Activity M,,
21,Activity K,,
21,Activity G,,
21,Activity N,1970-01-01 15:00:00,21600.0
21,Activity L,1970-01-01 15:00:00,21600.0
21,Activity I,1970-01-01 15:00:00,21600.0
21,Activity J,1970-01-01 15:00:00,21600.0
21,Activity H,1970-01-01 16:00:00,25200.0
21,,1970-01-01 17:00:00,28800.0
22,,1970-01-01 09:00:00,0.0
22,,1970-01-01 10:00:00,3600.0
22,Activity C,1970-01-01 11:00:00,7200.0
22,Activity D,,
22,Activity E,,
22,,1970-01-01 14:00:00,18000.0
22,Activity G,,
22,Activity M,1970-01-01 14:00:00,18000.0
22,Activity L,1970-01-01 15:00:00,21600.0
22,Activity I,1970-01-01 15:00:00,21600.0
22,Activity J,1970-01-01 15:00:00,21600.0
22,Activity N,1970-01-01 15:00:00,21600.0
22,Activity H,1970-01-01 16:00:00,25200.0
22,Activity F,1970-01-01 17:00:00,28800.0
23,Activity A,1970-01-01 09:00:00,0.0
23,Activity B,1970-01-01 10:00:00,3600.0
23,,1970-01-01 11:00:00,7200.0
23,Activity D,1970-01-01 12:00:00,10800.0
23,Activity E,1970-01-01 13:00:00,14400.0
23,Activity G,,
23,,1970-01-01 14:00:00,18000.0
23,Activity K,1970-01-01 14:00:00,18000.0
23,Activity J,1970-01-01 15:00:00,21600.0
23,Activity I,1970-01-01 15:00:00,21600.0
23,,1970-01-01 15:00:00,21600.0
23,Activity L,,
23,Activity H,1970-01-01 16:00:00,25200.0
23,Activity F,1970-01-01 17:00:00,28800.0
24,Activity A,1970-01-01 09:00:00,0.0
24,Activity B,,
24,,1970-01-01 11:00:00,7200.0
24,,1970-01-01 12:00:00,10800.0
24,,1970-01-01 13:00:00,14400.0
24,Activity G,,
24,Activity K,1970-01-01 14:00:00,18000.0
24,Activity M,1970-01-01 14:00:00,18000.0
24,Activity J,,
24,,,
24,Activity L,1970-01-01 15:00:00,21600.0
24,Activity N,1970-01-01 15:00:00,21600.0
24,Activity H,1970-01-01 16:00:00,25200.0
24,,1970-01-01 17:00:00,28800.0
25,Activity A,,
25,Activity B,1970-01-01 10:00:00,3600.0
25,Activity C,1970-01-01 11:00:00,7200.0
25,,,
25,Activity E,1970-01-01 13:00:00,14400.0
25,Activity M,1970-01-01 14:00:00,18000.0
25,Activity G,,
25,Activity K,1970-01-01 14:00:00,18000.0
25,Activity N,,
25,,,
25,Activity I,1970-01-01 15:00:00,21600.0
25,,1970-01-01 15:00:00,21600.0
25,,,
25,Activity F,,
26,Activity A,1970-01-01 09:00:00,0.0
26,Activity B,,
26,,1970-01-01 11:00:00,7200.0
26,,,
26,Activity E,1970-01-01 13:00:00,14400.0
26,Activity K,1970-01-01 14:00:00,18000.0
26,Activity G,1970-01-01 14:00:00,18000.0
26,Activity M,1970-01-01 14:00:00,18000.0
26,Activity L,1970-01-01 15:00:00,21600.0
26,Activity J,1970-01-01 15:00:00,21600.0
26,,1970-01-01 15:00:00,21600.0
26,Activity N,1970-01-01 15:00:00,21600.0
26,,1970-01-01 16:00:00,25200.0
26,,,
27,Activity A,1970-01-01 09:00:00,0.0
27,Activity B,1970-01-01 10:00:00,3600.0
27,Activity C,1970-01-01 11:00:00,7200.0
27,Activity D,1970-01-01 12:00:00,10800.0
27,Activity E,1970-01-01 13:00:00,14400.0
27,Activity G,,
27,Activity K,1970-01-01 14:00:00,18000.0
27,Activity M,1970-01-01 14:00:00,18000.0
27,,1970-01-01 15:00:00,21600.0
27,Activity J,1970-01-01 15:00:00,21600.0
27,Activity L,1970-01-01 15:00:00,21600.0
27,Activity N,1970-01-01 15:00:00,21600.0
27,,,
27,Activity F,1970-01-01 17:00:00,28800.0
28,Activity A,1970-01-01 09:00:00,0.0
28,,1970-01-01 10:00:00,3600.0
28,Activity C,1970-01-01 11:00:00,7200.0
28,,,
28,Activity E,1970-01-01 13:00:00,14400.0
28,Activity K,1970-01-01 14:00:00,18000.0
28,Activity M,1970-01-01 14:00:00,18000.0
28,Activity G,1970-01-01 14:00:00,18000.0
28,Activity L,1970-01-01 15:00:00,21600.0
28,,1970-01-01 15:00:00,21600.0
28,Activity J,,
28,Activity I,1970-01-01 15:00:00,21600.0
28,Activity H,1970-01-01 16:00:00,25200.0
28,Activity F,,
29,,1970-01-01 09:00:00,0.0
29,Activity B,1970-01-01 10:00:00,3600.0
29,Activity C,,
29,Activity D,,
29,Activity E,,
29,Activity G,1970-01-01 14:00:00,18000.0
29,Activity M,,
29,Activity K,,
29,Activity J,,
29,Activity I,1970-01-01 15:00:00,21600.0
29,Activity N,1970-01-01 15:00:00,21600.0
29,Activity L,1970-01-01 15:00:00,21600.0
29,Activity H,1970-01-01 16:00:00,25200.0
29,Activity F,,
30,,,
30,Activity B,,
30,,1970-01-01 11:00:00,7200.0
30,Activity D,,
30,,,
30,,1970-01-01 14:00:00,18000.0
30,Activity M,1970-01-01 14:00:00,18000.0
30,Activity K,,
30,Activity I,1970-01-01 15:00:00,21600.0
30,Activity J,1970-01-01 15:00:00,21600.0
30,,1970-01-01 15:00:00,21600.0
30,Activity L,1970-01-01 15:00:00,21600.0
30,Activity H,1970-01-01 16:00:00,25200.0
30,Activity F,,
31,Activity A,,
31,Activity B,,
31,,,
31,,1970-01-01 12:00:00,10800.0
31,Activity E,1970-01-01 13:00:00,14400.0
31,,1970-01-01 14:00:00,18000.0
31,,1970-01-01 14:00:00,18000.0
31,Activity M,1970-01-01 14:00:00,18000.0
31,Activity L,1970-01-01 15:00:00,21600.0
31,Activity J,,
31,,1970-01-01 15:00:00,21600.0
31,,,
31,,1970-01-01 16:00:00,25200.0
31,Activity F,1970-01-01 17:00:00,28800.0
32,,1970-01-01 09:00:00,0.0
32,Activity B,1970-01-01 10:00:00,3600.0
32,Activity C,,
32,Activity D,1970-01-01 12:00:00,10800.0
32,Activity E,,
32,Activity K,1970-01-01 14:00:00,18000.0
32,,,
32,,1970-01-01 14:00:00,18000.0
32,Activity L,,
32,,1970-01-01 15:00:00,21600.0
32,Activity J,1970-01-01 15:00:00,21600.0
32,,,
32,Activity H,,
32,,1970-01-01 17:00:00,28800.0
33,Activity A,1970-01-01 09:00:00,0.0
33,Activity B,,
33,,1970-01-01 11:00:00,7200.0
33,Activity D,,
33,Activity E,,
33,,,
33,Activity M,1970-01-01 14:00:00,18000.0
33,Activity K,1970-01-01 14:00:00,18000.0
33,,,
33,,1970-01-01 15:00:00,21600.0
33,Activity N,,
33,Activity L,,
33,Activity H,1970-01-01 16:00:00,25200.0
33,Activity F,1970-01-01 17:00:00,28800.0
34,Activity A,1970-01-01 09:00:00,0.0
34,Activity B,1970-01-01 10:00:00,3600.0
34,,1970-01-01 11:00:00,7200.0
34,,1970-01-01 12:00:00,10800.0
34,Activity E,,
34,,1970-01-01 14:00:00,18000.0
34,Activity M,1970-01-01 14:00:00,18000.0
34,Activity K,1970-01-01 14:00:00,18000.0
34,Activity J,,
34,,,
34,Activity N,1970-01-01 15:00:00,21600.0
34,Activity L,,
34,,,
34,Activity F,1970-01-01 17:00:00,28800.0
35,Activity A,1970-01-01 09:00:00,0.0
35,,,
35,,1970-01-01 11:00:00,7200.0
35,,,
35,Activity E,1970-01-01 13:00:00,14400.0
35,,1970-01-01 14:00:00,18000.0
35,,,
35,Activity G,,
35,Activity L,,
35,Activity N,1970-01-01 15:00:00,21600.0
35,Activity I,1970-01-01 15:00:00,21600.0
35,Activity J,1970-01-01 15:00:00,21600.0
35,Activity H,1970-01-01 16:00:00,25200.0
35,Activity F,1970-01-01 17:00:00,28800.0
36,Activity A,,
36,Activity B,1970-01-01 10:00:00,3600.0
36,,1970-01-01 11:00:00,7200.0
36,Activity D,1970-01-01 12:00:00,10800.0
36,Activity E,1970-01-01 13:00:00,14400.0
36,Activity M,,
36,Activity G,1970-01-01 14:00:00,18000.0
36,Activity K,1970-01-01 14:00:00,18000.0
36,Activity N,,
36,Activity I,,
36,Activity J,1970-01-01 15:00:00,21600.0
36,Activity L,1970-01-01 15:00:00,21600.0
36,,1970-01-01 16:00:00,25200.0
36,,1970-01-01 17:00:00,28800.0
37,,,
37,Activity B,1970-01-01 10:00:00,3600.0
37,,,
37,Activity D,1970-01-01 12:00:00,10800.0
37,,,
37,Activity K,1970-01-01 14:00:00,18000.0
37,Activity M,1970-01-01 14:00:00,18000.0
37,,,
37,Activity L,,
37,Activity N,1970-01-01 15:00:00,21600.0
37,Activity I,,
37,,1970-01-01 15:00:00,21600.0
37,Activity H,,
37,,,
38,Activity A,,
38,,,
38,,1970-01-01 11:00:00,7200.0
38,Activity D,1970-01-01 12:00:00,10800.0
38,,1970-01-01 13:00:00,14400.0
38,Activity M,1970-01-01 14:00:00,18000.0
38,Activity K,1970-01-01 14:00:00,18000.0
38,Activity G,1970-01-01 14:00:00,18000.0
38,Activity N,1970-01-01 15:00:00,21600.0
38,,1970-01-01 15:00:00,21600.0
38,Activity I,1970-01-01 15:00:00,21600.0
38,,1970-01-01 15:00:00,21600.0
38,,,
38,,,
39,Activity A,1970-01-01 09:00:00,0.0
39,,1970-01-01 10:00:00,3600.0
39,Activity C,1970-01-01 11:00:00,7200.0
39,Activity D,1970-01-01 12:00:00,10800.0
39,,,
39,,,
39,,1970-01-01 14:00:00,18000.0
39,Activity G,1970-01-01 14:00:00,18000.0
39,,1970-01-01 15:00:00,21600.0
39,,1970-01-01 15:00:00,21600.0
39,,,
39,,1970-01-01 15:00:00,21600.0
39,Activity H,,
39,Activity F,1970-01-01 17:00:00,28800.0
40,,1970-01-01 09:00:00,0.0
40,Activity B,1970-01-01 10:00:00,3600.0
40,Activity C,1970-01-01 11:00:00,7200.0
40,Activity D,1970-01-01 12:00:00,10800.0
40,Activity E,,
40,Activity K,1970-01-01 14:00:00,18000.0
40,Activity G,1970-01-01 14:00:00,18000.0
40,Activity M,1970-01-01 14:00:00,18000.0
40,,,
40,,1970-01-01 15:00:00,21600.0
40,,,
40,Activity N,1970-01-01 15:00:00,21600.0
40,Activity H,1970-01-01 16:00:00,25200.0
40,Activity F,1970-01-01 17:00:00,28800.0
41,,1970-01-01 09:00:00,0.0
41,Activity B,1970-01-01 10:00:00,3600.0
41,,1970-01-01 11:00:00,7200.0
41,Activity D,1970-01-01 12:00:00,10800.0
41,Activity E,1970-01-01 13:00:00,14400.0
41,,,
41,Activity K,1970-01-01 14:00:00,18000.0
41,Activity G,1970-01-01 14:00:00,18000.0
41,,1970-01-01 15:00:00,21600.0
41,Activity L,1970-01-01 15:00:00,21600.0
41,,1970-01-01 15:00:00,21600.0
41,Activity J,1970-01-01 15:00:00,21600.0
41,Activity H,,
41,Activity F,1970-01-01 17:00:00,28800.0
42,Activity A,1970-01-01 09:00:00,0.0
42,,1970-01-01 10:00:00,3600.0
42,Activity C,1970-01-01 11:00:00,7200.0
42,Activity D,,
42,Activity E,1970-01-01 13:00:00,14400.0
42,Activity G,1970-01-01 14:00:00,18000.0
42,,1970-01-01 14:00:00,18000.0
42,,1970-01-01 14:00:00,18000.0
42,Activity J,,
42,Activity I,1970-01-01 15:00:00,21600.0
42,,1970-01-01 15:00:00,21600.0
42,,1970-01-01 15:00:00,21600.0
42,,1970-01-01 16:00:00,25200.0
42,,1970-01-01 17:00:00,28800.0
43,Activity A,,
43,Activity B,,
43,Activity C,,
43,Activity D,1970-01-01 12:00:00,10800.0
43,Activity E,,
43,,1970-01-01 14:00:00,18000.0
43,Activity M,1970-01-01 14:00:00,18000.0
43,Activity K,,
43,,1970-01-01 15:00:00,21600.0
43,Activity I,1970-01-01 15:00:00,21600.0
43,,1970-01-01 15:00:00,21600.0
43,,,
43,Activity H,,
43,Activity F,,
44,Activity A,1970-01-01 09:00:00,0.0
44,,1970-01-01 10:00:00,3600.0
44,Activity C,1970-01-01 11:00:00,7200.0
44,,1970-01-01 12:00:00,10800.0
44,,,
44,Activity M,,
44,,,
44,,1970-01-01 14:00:00,18000.0
44,,1970-01-01 15:00:00,21600.0
44,Activity L,1970-01-01 15:00:00,21600.0
44,Activity J,1970-01-01 15:00:00,21600.0
44,Activity I,1970-01-01 15:00:00,21600.0
44,Activity H,,
44,Activity F,1970-01-01 17:00:00,28800.0
45,,1970-01-01 09:00:00,0.0
45,Activity B,,
45,Activity C,1970-01-01 11:00:00,7200.0
45,,,
45,Activity E,1970-01-01 13:00:00,14400.0
45,Activity M,1970-01-01 14:00:00,18000.0
45,Activity G,1970-01-01 14:00:00,18000.0
45,Activity K,1970-01-01 14:00:00,18000.0
45,Activity N,1970-01-01 15:00:00,21600.0
45,Activity I,1970-01-01 15:00:00,21600.0
45,Activity J,1970-01-01 15:00:00,21600.0
45,Activity L,1970-01-01 15:00:00,21600.0
45,Activity H,,
45,Activity F,1970-01-01 17:00:00,28800.0
46,Activity A,1970-01-01 09:00:00,0.0
46,Activity B,1970-01-01 10:00:00,3600.0
46,Activity C,,
46,Activity D,1970-01-01 12:00:00,10800.0
46,,1970-01-01 13:00:00,14400.0
46,Activity K,1970-01-01 14:00:00,18000.0
46,Activity M,1970-01-01 14:00:00,18000.0
46,Activity G,,
46,Activity L,1970-01-01 15:00:00,21600.0
46,Activity N,1970-01-01 15:00:00,21600.0
46,Activity I,,
46,,1970-01-01 15:00:00,21600.0
46,,,
46,,1970-01-01 17:00:00,28800.0
47,Activity A,,
47,,1970-01-01 10:00:00,3600.0
47,Activity C,1970-01-01 11:00:00,7200.0
47,Activity D,1970-01-01 12:00:00,10800.0
47,Activity E,1970-01-01 13:00:00,14400.0
47,,,
47,Activity G,1970-01-01 14:00:00,18000.0
47,Activity K,,
47,,1970-01-01 15:00:00,21600.0
47,,1970-01-01 15:00:00,21600.0
47,Activity I,1970-01-01 15:00:00,21600.0
47,,,
47,Activity H,1970-01-01 16:00:00,25200.0
47,,1970-01-01 17:00:00,28800.0
48,Activity A,1970-01-01 09:00:00,0.0
48,Activity B,1970-01-01 10:00:00,3600.0
48,Activity C,,
48,Activity D,1970-01-01 12:00:00,10800.0
48,Activity E,1970-01-01 13:00:00,14400.0
48,Activity M,,
48,,1970-01-01 14:00:00,18000.0
48,Activity K,,
48,Activity N,1970-01-01 15:00:00,21600.0
48,Activity I,1970-01-01 15:00:00,21600.0
48,Activity J,1970-01-01 15:00:00,21600.0
48,,,
48,Activity H,1970-01-01 16:00:00,25200.0
48,Activity F,,
49,Activity A,1970-01-01 09:00:00,0.0
49,Activity B,1970-01-01 10:00:00,3600.0
49,Activity C,1970-01-01 11:00:00,7200.0
49,Activity D,,
49,Activity E,1970-01-01 13:00:00,14400.0
49,Activity M,1970-01-01 14:00:00,18000.0
49,,1970-01-01 14:00:00,18000.0
49,,1970-01-01 14:00:00,18000.0
49,Activity N,,
49,Activity L,1970-01-01 15:00:00,21600.0
49,Activity I,1970-01-01 15:00:00,21600.0
49,Activity J,1970-01-01 15:00:00,21600.0
49,Activity H,1970-01-01 16:00:00,25200.0
49,Activity F,1970-01-01 17:00:00,28800.0
50,Activity A,1970-01-01 09:00:00,0.0
50,,1970-01-01 10:00:00,3600.0
50,Activity C,1970-01-01 11:00:00,7200.0
50,Activity D,,
50,Activity E,1970-01-01 13:00:00,14400.0
50,Activity G,,
50,Activity M,1970-01-01 14:00:00,18000.0
50,,1970-01-01 14:00:00,18000.0
50,Activity J,1970-01-01 15:00:00,21600.0
50,Activity I,1970-01-01 15:00:00,21600.0
50,Activity N,1970-01-01 15:00:00,21600.0
50,Activity L,,
50,Activity H,,
50,Activity F,,
51,Activity A,,
51,,1970-01-01 10:00:00,3600.0
51,Activity C,1970-01-01 11:00:00,7200.0
51,Activity D,1970-01-01 12:00:00,10800.0
51,,,
51,,1970-01-01 14:00:00,18000.0
51,,,
51,,,
51,Activity N,1970-01-01 15:00:00,21600.0
51,Activity L,1970-01-01 15:00:00,21600.0
51,Activity J,1970-01-01 15:00:00,21600.0
51,,,
51,,1970-01-01 16:00:00,25200.0
51,Activity F,,
52,Activity A,,
52,Activity B,,
52,Activity C,,
52,Activity D,1970-01-01 12:00:00,10800.0
52,Activity E,1970-01-01 13:00:00,14400.0
52,Activity G,1970-01-01 14:00:00,18000.0
52,Activity M,1970-01-01 14:00:00,18000.0
52,Activity K,1970-01-01 14:00:00,18000.0
52,Activity J,1970-01-01 15:00:00,21600.0
52,Activity I,1970-01-01 15:00:00,21600.0
52,,,
52,Activity L,1970-01-01 15:00:00,21600.0
52,,1970-01-01 16:00:00,25200.0
52,,1970-01-01 17:00:00,28800.0
53,Activity A,1970-01-01 09:00:00,0.0
53,Activity B,,
53,Activity C,1970-01-01 11:00:00,7200.0
53,,1970-01-01 12:00:00,10800.0
53,,1970-01-01 13:00:00,14400.0
53,,,
53,Activity M,1970-01-01 14:00:00,18000.0
53,Activity K,1970-01-01 14:00:00,18000.0
53,,1970-01-01 15:00:00,21600.0
53,Activity I,1970-01-01 15:00:00,21600.0
53,Activity N,1970-01-01 15:00:00,21600.0
53,,1970-01-01 15:00:00,21600.0
53,Activity H,1970-01-01 16:00:00,25200.0
53,,1970-01-01 17:00:00,28800.0
54,Activity A,1970-01-01 09:00:00,0.0
54,,1970-01-01 10:00:00,3600.0
54,,1970-01-01 11:00:00,7200.0
54,Activity D,,
54,Activity E,,
54,Activity M,1970-01-01 14:00:00,18000.0
54,Activity K,1970-01-01 14:00:00,18000.0
54,Activity G,1970-01-01 14:00:00,18000.0
54,Activity N,1970-01-01 15:00:00,21600.0
54,,1970-01-01 15:00:00,21600.0
