CaseID,Activity,CompleteTimestamp,CumTimeInterval,NormalizedTime
5,,1970-01-01 13:00:00,14400.0,0.4999982638949171
5,Activity M,1970-01-01 14:00:00,18000.0,0.6249978298686463
5,Activity K,1970-01-01 14:00:00,18000.0,0.6249978298686463
5,,1970-01-01 14:00:00,18000.0,0.6249978298686463
5,Activity N,1970-01-01 15:00:00,21600.0,0.7499973958423756
5,Activity L,1970-01-01 15:00:00,21600.0,0.7499973958423756
5,Activity I,1970-01-01 15:00:00,21600.0,0.7499973958423756
5,,1970-01-01 15:00:00,21600.0,0.7499973958423756
5,Activity H,1970-01-01 16:00:00,25200.0,0.8749969618161049
5,,1970-01-01 17:00:00,28800.0,0.9999965277898342
6,,,,
6,Activity B,,,
6,Activity C,1970-01-01 11:00:00,7200.0,0.0
6,Activity D,,,
6,,,,
6,Activity M,,,
6,,,,
6,Activity G,,,
6,Activity N,1970-01-01 15:00:00,21600.0,0.6666635802612025
6,,1970-01-01 15:00:00,21600.0,0.6666635802612025
6,,,,
6,Activity I,,,
6,Activity H,,,
6,Activity F,1970-01-01 17:00:00,28800.0,0.9999953703918039
7,Activity A,1970-01-01 09:00:00,0.0,0.0
7,Activity B,1970-01-01 10:00:00,3600.0,0.12499956597372927
7,Activity C,1970-01-01 11:00:00,7200.0,0.24999913194745854
7,,,,
7,Activity E,1970-01-01 13:00:00,14400.0,0.4999982638949171
7,,,,
7,Activity M,1970-01-01 14:00:00,18000.0,0.6249978298686463
7,Activity K,1970-01-01 14:00:00,18000.0,0.6249978298686463
7,Activity J,1970-01-01 15:00:00,21600.0,0.7499973958423756
7,,1970-01-01 15:00:00,21600.0,0.7499973958423756
7,Activity N,,,
7,Activity L,1970-01-01 15:00:00,21600.0,0.7499973958423756
7,,1970-01-01 16:00:00,25200.0,0.8749969618161049
7,Activity F,1970-01-01 17:00:00,28800.0,0.9999965277898342
8,Activity A,1970-01-01 09:00:00,0.0,0.0
8,Activity B,,,
8,,1970-01-01 11:00:00,7200.0,0.2857131519319368
8,Activity D,1970-01-01 12:00:00,10800.0,0.4285697278979052
8,Activity E,,,
8,Activity K,1970-01-01 14:00:00,18000.0,0.714282879829842
8,,1970-01-01 14:00:00,18000.0,0.714282879829842
8,,1970-01-01 14:00:00,18000.0,0.714282879829842
8,Activity L,,,
8,Activity N,,,
8,,1970-01-01 15:00:00,21600.0,0.8571394557958104
8,Activity J,1970-01-01 15:00:00,21600.0,0.8571394557958104
8,,1970-01-01 16:00:00,25200.0,0.9999960317617788
8,Activity F,,,
9,Activity A,1970-01-01 09:00:00,0.0,0.0
9,,1970-01-01 10:00:00,3600.0,0.16666589506530063
9,Activity C,,,
9,Activity D,,,
9,Activity E,1970-01-01 13:00:00,14400.0,0.6666635802612025
9,,1970-01-01 14:00:00,18000.0,0.8333294753265031
9,Activity K,,,
9,Activity G,1970-01-01 14:00:00,18000.0,0.8333294753265031
9,Activity N,1970-01-01 15:00:00,21600.0,0.9999953703918039
9,,1970-01-01 15:00:00,21600.0,0.9999953703918039
9,Activity J,1970-01-01 15:00:00,21600.0,0.9999953703918039
9,,,,
9,,,,
9,,,,
10,Activity A,,,
10,,,,
10,,,,
10,,1970-01-01 12:00:00,10800.0,0.0
10,,,,
10,Activity K,,,
10,Activity G,1970-01-01 14:00:00,18000.0,0.6666604938843159
10,,1970-01-01 14:00:00,18000.0,0.6666604938843159
10,Activity L,,,
10,,1970-01-01 15:00:00,21600.0,0.9999907408264738
10,Activity J,1970-01-01 15:00:00,21600.0,0.9999907408264738
10,,1970-01-01 15:00:00,21600.0,0.9999907408264738
10,Activity H,,,
10,Activity F,,,
11,,,,
11,Activity B,1970-01-01 10:00:00,3600.0,0.0
11,Activity C,,,
11,,,,
11,Activity E,1970-01-01 13:00:00,14400.0,0.4285697278979052
11,,1970-01-01 14:00:00,18000.0,0.5714263038638736
11,,,,
11,Activity G,1970-01-01 14:00:00,18000.0,0.5714263038638736
11,Activity L,1970-01-01 15:00:00,21600.0,0.714282879829842
11,Activity N,,,
11,Activity I,1970-01-01 15:00:00,21600.0,0.714282879829842
11,,,,
11,Activity H,1970-01-01 16:00:00,25200.0,0.8571394557958104
11,Activity F,1970-01-01 17:00:00,28800.0,0.9999960317617788
12,Activity A,,,
12,Activity B,1970-01-01 10:00:00,3600.0,0.0
12,Activity C,1970-01-01 11:00:00,7200.0,0.1428565759659684
12,,1970-01-01 12:00:00,10800.0,0.2857131519319368
12,,1970-01-01 13:00:00,14400.0,0.4285697278979052
12,Activity K,1970-01-01 14:00:00,18000.0,0.5714263038638736
12,Activity M,,,
12,Activity G,,,
12,Activity L,1970-01-01 15:00:00,21600.0,0.714282879829842
12,,1970-01-01 15:00:00,21600.0,0.714282879829842
12,Activity J,1970-01-01 15:00:00,21600.0,0.714282879829842
12,Activity I,1970-01-01 15:00:00,21600.0,0.714282879829842
12,,1970-01-01 16:00:00,25200.0,0.8571394557958104
12,Activity F,1970-01-01 17:00:00,28800.0,0.9999960317617788
13,Activity A,,,
13,,,,
13,Activity C,1970-01-01 11:00:00,7200.0,0.0
13,Activity D,,,
13,Activity E,1970-01-01 13:00:00,14400.0,0.33333179013060127
13,,,,
13,Activity K,,,
13,Activity M,,,
13,Activity J,,,
13,Activity I,,,
13,Activity L,1970-01-01 15:00:00,21600.0,0.6666635802612025
13,,1970-01-01 15:00:00,21600.0,0.6666635802612025
13,Activity H,1970-01-01 16:00:00,25200.0,0.8333294753265031
13,Activity F,1970-01-01 17:00:00,28800.0,0.9999953703918039
14,,1970-01-01 09:00:00,0.0,0.0
14,Activity B,1970-01-01 10:00:00,3600.0,0.16666589506530063
14,Activity C,,,
14,Activity D,1970-01-01 12:00:00,10800.0,0.49999768519590193
14,Activity E,1970-01-01 13:00:00,14400.0,0.6666635802612025
14,Activity G,1970-01-01 14:00:00,18000.0,0.8333294753265031
14,,,,
14,,1970-01-01 14:00:00,18000.0,0.8333294753265031
14,Activity J,1970-01-01 15:00:00,21600.0,0.9999953703918039
14,Activity I,1970-01-01 15:00:00,21600.0,0.9999953703918039
14,,1970-01-01 15:00:00,21600.0,0.9999953703918039
14,Activity N,1970-01-01 15:00:00,21600.0,0.9999953703918039
14,Activity H,,,
14,,,,
15,,1970-01-01 09:00:00,0.0,0.0
15,,1970-01-01 10:00:00,3600.0,0.12499956597372927
15,,,,
15,Activity D,1970-01-01 12:00:00,10800.0,0.3749986979211878
15,Activity E,,,
15,,,,
15,Activity G,1970-01-01 14:00:00,18000.0,0.6249978298686463
15,Activity M,1970-01-01 14:00:00,18000.0,0.6249978298686463
15,,1970-01-01 15:00:00,21600.0,0.7499973958423756
15,Activity I,1970-01-01 15:00:00,21600.0,0.7499973958423756
15,Activity J,,,
15,Activity N,1970-01-01 15:00:00,21600.0,0.7499973958423756
15,,,,
15,,1970-01-01 17:00:00,28800.0,0.9999965277898342
16,,1970-01-01 09:00:00,0.0,0.0
16,,1970-01-01 10:00:00,3600.0,0.12499956597372927
16,Activity C,,,
16,Activity D,1970-01-01 12:00:00,10800.0,0.3749986979211878
16,,1970-01-01 13:00:00,14400.0,0.4999982638949171
16,Activity M,,,
16,Activity G,1970-01-01 14:00:00,18000.0,0.6249978298686463
16,Activity K,1970-01-01 14:00:00,18000.0,0.6249978298686463
16,Activity N,,,
16,Activity I,,,
16,Activity J,1970-01-01 15:00:00,21600.0,0.7499973958423756
16,Activity L,1970-01-01 15:00:00,21600.0,0.7499973958423756
16,,1970-01-01 16:00:00,25200.0,0.8749969618161049
16,Activity F,1970-01-01 17:00:00,28800.0,0.9999965277898342
17,Activity A,1970-01-01 09:00:00,0.0,0.0
17,Activity B,1970-01-01 10:00:00,3600.0,0.12499956597372927
17,Activity C,1970-01-01 11:00:00,7200.0,0.24999913194745854
17,Activity D,1970-01-01 12:00:00,10800.0,0.3749986979211878
17,Activity E,,,
17,Activity G,1970-01-01 14:00:00,18000.0,0.6249978298686463
17,Activity K,1970-01-01 14:00:00,18000.0,0.6249978298686463
17,,1970-01-01 14:00:00,18000.0,0.6249978298686463
17,,1970-01-01 15:00:00,21600.0,0.7499973958423756
17,Activity I,1970-01-01 15:00:00,21600.0,0.7499973958423756
17,Activity L,1970-01-01 15:00:00,21600.0,0.7499973958423756
17,Activity N,1970-01-01 15:00:00,21600.0,0.7499973958423756
17,Activity H,1970-01-01 16:00:00,25200.0,0.8749969618161049
17,Activity F,1970-01-01 17:00:00,28800.0,0.9999965277898342
18,Activity A,1970-01-01 09:00:00,0.0,0.0
18,,1970-01-01 10:00:00,3600.0,0.12499956597372927
18,Activity C,,,
18,Activity D,,,
18,,1970-01-01 13:00:00,14400.0,0.4999982638949171
18,,1970-01-01 14:00:00,18000.0,0.6249978298686463
18,Activity M,,,
18,Activity K,1970-01-01 14:00:00,18000.0,0.6249978298686463
18,Activity J,1970-01-01 15:00:00,21600.0,0.7499973958423756
18,Activity I,1970-01-01 15:00:00,21600.0,0.7499973958423756
18,,1970-01-01 15:00:00,21600.0,0.7499973958423756
18,,1970-01-01 15:00:00,21600.0,0.7499973958423756
18,Activity H,,,
18,Activity F,1970-01-01 17:00:00,28800.0,0.9999965277898342
19,Activity A,1970-01-01 09:00:00,0.0,0.0
19,Activity B,1970-01-01 10:00:00,3600.0,0.12499956597372927
19,Activity C,1970-01-01 11:00:00,7200.0,0.24999913194745854
19,Activity D,1970-01-01 12:00:00,10800.0,0.3749986979211878
19,Activity E,1970-01-01 13:00:00,14400.0,0.4999982638949171
19,Activity M,,,
19,,,,
19,Activity G,,,
19,Activity N,1970-01-01 15:00:00,21600.0,0.7499973958423756
19,,1970-01-01 15:00:00,21600.0,0.7499973958423756
19,Activity J,1970-01-01 15:00:00,21600.0,0.7499973958423756
19,Activity I,1970-01-01 15:00:00,21600.0,0.7499973958423756
19,,1970-01-01 16:00:00,25200.0,0.8749969618161049
19,,1970-01-01 17:00:00,28800.0,0.9999965277898342
20,Activity A,1970-01-01 09:00:00,0.0,0.0
20,,1970-01-01 10:00:00,3600.0,0.1428565759659684
20,Activity C,1970-01-01 11:00:00,7200.0,0.2857131519319368
20,,1970-01-01 12:00:00,10800.0,0.4285697278979052
20,Activity E,1970-01-01 13:00:00,14400.0,0.5714263038638736
20,Activity G,1970-01-01 14:00:00,18000.0,0.714282879829842
20,Activity M,,,
20,Activity K,,,
20,Activity J,1970-01-01 15:00:00,21600.0,0.8571394557958104
20,,1970-01-01 15:00:00,21600.0,0.8571394557958104
20,,,,
20,Activity L,,,
20,Activity H,1970-01-01 16:00:00,25200.0,0.9999960317617788
20,,,,
21,Activity A,1970-01-01 09:00:00,0.0,0.0
21,,1970-01-01 10:00:00,3600.0,0.12499956597372927
21,Activity C,1970-01-01 11:00:00,7200.0,0.24999913194745854
21,Activity D,1970-01-01 12:00:00,10800.0,0.3749986979211878
21,Activity E,,,
21,Activity M,,,
21,Activity K,,,
21,Activity G,,,
21,Activity N,1970-01-01 15:00:00,21600.0,0.7499973958423756
21,Activity L,1970-01-01 15:00:00,21600.0,0.7499973958423756
21,Activity I,1970-01-01 15:00:00,21600.0,0.7499973958423756
21,Activity J,1970-01-01 15:00:00,21600.0,0.7499973958423756
21,Activity H,1970-01-01 16:00:00,25200.0,0.8749969618161049
21,,1970-01-01 17:00:00,28800.0,0.9999965277898342
22,,1970-01-01 09:00:00,0.0,0.0
22,,1970-01-01 10:00:00,3600.0,0.12499956597372927
22,Activity C,1970-01-01 11:00:00,7200.0,0.24999913194745854
22,Activity D,,,
22,Activity E,,,
22,,1970-01-01 14:00:00,18000.0,0.6249978298686463
22,Activity G,,,
22,Activity M,1970-01-01 14:00:00,18000.0,0.6249978298686463
22,Activity L,1970-01-01 15:00:00,21600.0,0.7499973958423756
22,Activity I,1970-01-01 15:00:00,21600.0,0.7499973958423756
22,Activity J,1970-01-01 15:00:00,21600.0,0.7499973958423756
22,Activity N,1970-01-01 15:00:00,21600.0,0.7499973958423756
22,Activity H,1970-01-01 16:00:00,25200.0,0.8749969618161049
22,Activity F,1970-01-01 17:00:00,28800.0,0.9999965277898342
23,Activity A,1970-01-01 09:00:00,0.0,0.0
23,Activity B,1970-01-01 10:00:00,3600.0,0.12499956597372927
23,,1970-01-01 11:00:00,7200.0,0.24999913194745854
23,Activity D,1970-01-01 12:00:00,10800.0,0.3749986979211878
23,Activity E,1970-01-01 13:00:00,14400.0,0.4999982638949171
23,Activity G,,,
23,,1970-01-01 14:00:00,18000.0,0.6249978298686463
23,Activity K,1970-01-01 14:00:00,18000.0,0.6249978298686463
23,Activity J,1970-01-01 15:00:00,21600.0,0.7499973958423756
23,Activity I,1970-01-01 15:00:00,21600.0,0.7499973958423756
23,,1970-01-01 15:00:00,21600.0,0.7499973958423756
23,Activity L,,,
23,Activity H,1970-01-01 16:00:00,25200.0,0.8749969618161049
23,Activity F,1970-01-01 17:00:00,28800.0,0.9999965277898342
24,Activity A,1970-01-01 09:00:00,0.0,0.0
24,Activity B,,,
24,,1970-01-01 11:00:00,7200.0,0.24999913194745854
24,,1970-01-01 12:00:00,10800.0,0.3749986979211878
24,,1970-01-01 13:00:00,14400.0,0.4999982638949171
24,Activity G,,,
24,Activity K,1970-01-01 14:00:00,18000.0,0.6249978298686463
24,Activity M,1970-01-01 14:00:00,18000.0,0.6249978298686463
24,Activity J,,,
24,,,,
24,Activity L,1970-01-01 15:00:00,21600.0,0.7499973958423756
24,Activity N,1970-01-01 15:00:00,21600.0,0.7499973958423756
24,Activity H,1970-01-01 16:00:00,25200.0,0.8749969618161049
24,,1970-01-01 17:00:00,28800.0,0.9999965277898342
25,Activity A,,,
25,Activity B,1970-01-01 10:00:00,3600.0,0.0
25,Activity C,1970-01-01 11:00:00,7200.0,0.1999988888950617
25,,,,
25,Activity E,1970-01-01 13:00:00,14400.0,0.5999966666851851
25,Activity M,1970-01-01 14:00:00,18000.0,0.7999955555802468
25,Activity G,,,
25,Activity K,1970-01-01 14:00:00,18000.0,0.7999955555802468
25,Activity N,,,
25,,,,
25,Activity I,1970-01-01 15:00:00,21600.0,0.9999944444753085
25,,1970-01-01 15:00:00,21600.0,0.9999944444753085
25,,,,
25,Activity F,,,
26,Activity A,1970-01-01 09:00:00,0.0,0.0
26,Activity B,,,
26,,1970-01-01 11:00:00,7200.0,0.2857131519319368
26,,,,
26,Activity E,1970-01-01 13:00:00,14400.0,0.5714263038638736
26,Activity K,1970-01-01 14:00:00,18000.0,0.714282879829842
26,Activity G,1970-01-01 14:00:00,18000.0,0.714282879829842
26,Activity M,1970-01-01 14:00:00,18000.0,0.714282879829842
26,Activity L,1970-01-01 15:00:00,21600.0,0.8571394557958104
26,Activity J,1970-01-01 15:00:00,21600.0,0.8571394557958104
26,,1970-01-01 15:00:00,21600.0,0.8571394557958104
26,Activity N,1970-01-01 15:00:00,21600.0,0.8571394557958104
26,,1970-01-01 16:00:00,25200.0,0.9999960317617788
26,,,,
27,Activity A,1970-01-01 09:00:00,0.0,0.0
27,Activity B,1970-01-01 10:00:00,3600.0,0.12499956597372927
27,Activity C,1970-01-01 11:00:00,7200.0,0.24999913194745854
27,Activity D,1970-01-01 12:00:00,10800.0,0.3749986979211878
27,Activity E,1970-01-01 13:00:00,14400.0,0.4999982638949171
27,Activity G,,,
27,Activity K,1970-01-01 14:00:00,18000.0,0.6249978298686463
27,Activity M,1970-01-01 14:00:00,18000.0,0.6249978298686463
27,,1970-01-01 15:00:00,21600.0,0.7499973958423756
27,Activity J,1970-01-01 15:00:00,21600.0,0.7499973958423756
27,Activity L,1970-01-01 15:00:00,21600.0,0.7499973958423756
27,Activity N,1970-01-01 15:00:00,21600.0,0.7499973958423756
27,,,,
27,Activity F,1970-01-01 17:00:00,28800.0,0.9999965277898342
28,Activity A,1970-01-01 09:00:00,0.0,0.0
28,,1970-01-01 10:00:00,3600.0,0.1428565759659684
28,Activity C,1970-01-01 11:00:00,7200.0,0.2857131519319368
28,,,,
28,Activity E,1970-01-01 13:00:00,14400.0,0.5714263038638736
28,Activity K,1970-01-01 14:00:00,18000.0,0.714282879829842
28,Activity M,1970-01-01 14:00:00,18000.0,0.714282879829842
28,Activity G,1970-01-01 14:00:00,18000.0,0.714282879829842
28,Activity L,1970-01-01 15:00:00,21600.0,0.8571394557958104
28,,1970-01-01 15:00:00,21600.0,0.8571394557958104
28,Activity J,,,
28,Activity I,1970-01-01 15:00:00,21600.0,0.8571394557958104
28,Activity H,1970-01-01 16:00:00,25200.0,0.9999960317617788
28,Activity F,,,
29,,1970-01-01 09:00:00,0.0,0.0
29,Activity B,1970-01-01 10:00:00,3600.0,0.1428565759659684
29,Activity C,,,
29,Activity D,,,
29,Activity E,,,
29,Activity G,1970-01-01 14:00:00,18000.0,0.714282879829842
29,Activity M,,,
29,Activity K,,,
29,Activity J,,,
29,Activity I,1970-01-01 15:00:00,21600.0,0.8571394557958104
29,Activity N,1970-01-01 15:00:00,21600.0,0.8571394557958104
29,Activity L,1970-01-01 15:00:00,21600.0,0.8571394557958104
29,Activity H,1970-01-01 16:00:00,25200.0,0.9999960317617788
29,Activity F,,,
30,,,,
30,Activity B,,,
30,,1970-01-01 11:00:00,7200.0,0.0
30,Activity D,,,
30,,,,
30,,1970-01-01 14:00:00,18000.0,0.5999966666851851
30,Activity M,1970-01-01 14:00:00,18000.0,0.5999966666851851
30,Activity K,,,
30,Activity I,1970-01-01 15:00:00,21600.0,0.7999955555802468
30,Activity J,1970-01-01 15:00:00,21600.0,0.7999955555802468
30,,1970-01-01 15:00:00,21600.0,0.7999955555802468
30,Activity L,1970-01-01 15:00:00,21600.0,0.7999955555802468
30,Activity H,1970-01-01 16:00:00,25200.0,0.9999944444753085
30,Activity F,,,
31,Activity A,,,
31,Activity B,,,
31,,,,
31,,1970-01-01 12:00:00,10800.0,0.0
31,Activity E,1970-01-01 13:00:00,14400.0,0.1999988888950617
31,,1970-01-01 14:00:00,18000.0,0.3999977777901234
31,,1970-01-01 14:00:00,18000.0,0.3999977777901234
31,Activity M,1970-01-01 14:00:00,18000.0,0.3999977777901234
31,Activity L,1970-01-01 15:00:00,21600.0,0.5999966666851851
31,Activity J,,,
31,,1970-01-01 15:00:00,21600.0,0.5999966666851851
31,,,,
31,,1970-01-01 16:00:00,25200.0,0.7999955555802468
31,Activity F,1970-01-01 17:00:00,28800.0,0.9999944444753085
32,,1970-01-01 09:00:00,0.0,0.0
32,Activity B,1970-01-01 10:00:00,3600.0,0.12499956597372927
32,Activity C,,,
32,Activity D,1970-01-01 12:00:00,10800.0,0.3749986979211878
32,Activity E,,,
32,Activity K,1970-01-01 14:00:00,18000.0,0.6249978298686463
32,,,,
32,,1970-01-01 14:00:00,18000.0,0.6249978298686463
32,Activity L,,,
32,,1970-01-01 15:00:00,21600.0,0.7499973958423756
32,Activity J,1970-01-01 15:00:00,21600.0,0.7499973958423756
32,,,,
32,Activity H,,,
32,,1970-01-01 17:00:00,28800.0,0.9999965277898342
33,Activity A,1970-01-01 09:00:00,0.0,0.0
33,Activity B,,,
33,,1970-01-01 11:00:00,7200.0,0.24999913194745854
33,Activity D,,,
33,Activity E,,,
33,,,,
33,Activity M,1970-01-01 14:00:00,18000.0,0.6249978298686463
33,Activity K,1970-01-01 14:00:00,18000.0,0.6249978298686463
33,,,,
33,,1970-01-01 15:00:00,21600.0,0.7499973958423756
33,Activity N,,,
33,Activity L,,,
33,Activity H,1970-01-01 16:00:00,25200.0,0.8749969618161049
33,Activity F,1970-01-01 17:00:00,28800.0,0.9999965277898342
34,Activity A,1970-01-01 09:00:00,0.0,0.0
34,Activity B,1970-01-01 10:00:00,3600.0,0.12499956597372927
34,,1970-01-01 11:00:00,7200.0,0.24999913194745854
34,,1970-01-01 12:00:00,10800.0,0.3749986979211878
34,Activity E,,,
34,,1970-01-01 14:00:00,18000.0,0.6249978298686463
34,Activity M,1970-01-01 14:00:00,18000.0,0.6249978298686463
34,Activity K,1970-01-01 14:00:00,18000.0,0.6249978298686463
34,Activity J,,,
34,,,,
34,Activity N,1970-01-01 15:00:00,21600.0,0.7499973958423756
34,Activity L,,,
34,,,,
34,Activity F,1970-01-01 17:00:00,28800.0,0.9999965277898342
35,Activity A,1970-01-01 09:00:00,0.0,0.0
35,,,,
35,,1970-01-01 11:00:00,7200.0,0.24999913194745854
35,,,,
35,Activity E,1970-01-01 13:00:00,14400.0,0.4999982638949171
35,,1970-01-01 14:00:00,18000.0,0.6249978298686463
35,,,,
35,Activity G,,,
35,Activity L,,,
35,Activity N,1970-01-01 15:00:00,21600.0,0.7499973958423756
35,Activity I,1970-01-01 15:00:00,21600.0,0.7499973958423756
35,Activity J,1970-01-01 15:00:00,21600.0,0.7499973958423756
35,Activity H,1970-01-01 16:00:00,25200.0,0.8749969618161049
35,Activity F,1970-01-01 17:00:00,28800.0,0.9999965277898342
36,Activity A,,,
36,Activity B,1970-01-01 10:00:00,3600.0,0.0
36,,1970-01-01 11:00:00,7200.0,0.1428565759659684
36,Activity D,1970-01-01 12:00:00,10800.0,0.2857131519319368
36,Activity E,1970-01-01 13:00:00,14400.0,0.4285697278979052
36,Activity M,,,
36,Activity G,1970-01-01 14:00:00,18000.0,0.5714263038638736
36,Activity K,1970-01-01 14:00:00,18000.0,0.5714263038638736
36,Activity N,,,
36,Activity I,,,
36,Activity J,1970-01-01 15:00:00,21600.0,0.714282879829842
36,Activity L,1970-01-01 15:00:00,21600.0,0.714282879829842
36,,1970-01-01 16:00:00,25200.0,0.8571394557958104
36,,1970-01-01 17:00:00,28800.0,0.9999960317617788
37,,,,
37,Activity B,1970-01-01 10:00:00,3600.0,0.0
37,,,,
37,Activity D,1970-01-01 12:00:00,10800.0,0.3999977777901234
37,,,,
37,Activity K,1970-01-01 14:00:00,18000.0,0.7999955555802468
37,Activity M,1970-01-01 14:00:00,18000.0,0.7999955555802468
37,,,,
37,Activity L,,,
37,Activity N,1970-01-01 15:00:00,21600.0,0.9999944444753085
37,Activity I,,,
37,,1970-01-01 15:00:00,21600.0,0.9999944444753085
37,Activity H,,,
37,,,,
38,Activity A,,,
38,,,,
38,,1970-01-01 11:00:00,7200.0,0.0
38,Activity D,1970-01-01 12:00:00,10800.0,0.24999826390094512
38,,1970-01-01 13:00:00,14400.0,0.49999652780189024
38,Activity M,1970-01-01 14:00:00,18000.0,0.7499947917028353
38,Activity K,1970-01-01 14:00:00,18000.0,0.7499947917028353
38,Activity G,1970-01-01 14:00:00,18000.0,0.7499947917028353
38,Activity N,1970-01-01 15:00:00,21600.0,0.9999930556037805
38,,1970-01-01 15:00:00,21600.0,0.9999930556037805
38,Activity I,1970-01-01 15:00:00,21600.0,0.9999930556037805
38,,1970-01-01 15:00:00,21600.0,0.9999930556037805
38,,,,
38,,,,
39,Activity A,1970-01-01 09:00:00,0.0,0.0
39,,1970-01-01 10:00:00,3600.0,0.12499956597372927
39,Activity C,1970-01-01 11:00:00,7200.0,0.24999913194745854
39,Activity D,1970-01-01 12:00:00,10800.0,0.3749986979211878
39,,,,
39,,,,
39,,1970-01-01 14:00:00,18000.0,0.6249978298686463
39,Activity G,1970-01-01 14:00:00,18000.0,0.6249978298686463
39,,1970-01-01 15:00:00,21600.0,0.7499973958423756
39,,1970-01-01 15:00:00,21600.0,0.7499973958423756
39,,,,
39,,1970-01-01 15:00:00,21600.0,0.7499973958423756
39,Activity H,,,
39,Activity F,1970-01-01 17:00:00,28800.0,0.9999965277898342
40,,1970-01-01 09:00:00,0.0,0.0
40,Activity B,1970-01-01 10:00:00,3600.0,0.12499956597372927
40,Activity C,1970-01-01 11:00:00,7200.0,0.24999913194745854
40,Activity D,1970-01-01 12:00:00,10800.0,0.3749986979211878
40,Activity E,,,
40,Activity K,1970-01-01 14:00:00,18000.0,0.6249978298686463
40,Activity G,1970-01-01 14:00:00,18000.0,0.6249978298686463
40,Activity M,1970-01-01 14:00:00,18000.0,0.6249978298686463
40,,,,
40,,1970-01-01 15:00:00,21600.0,0.7499973958423756
40,,,,
40,Activity N,1970-01-01 15:00:00,21600.0,0.7499973958423756
40,Activity H,1970-01-01 16:00:00,25200.0,0.8749969618161049
40,Activity F,1970-01-01 17:00:00,28800.0,0.9999965277898342
41,,1970-01-01 09:00:00,0.0,0.0
41,Activity B,1970-01-01 10:00:00,3600.0,0.12499956597372927
41,,1970-01-01 11:00:00,7200.0,0.24999913194745854
41,Activity D,1970-01-01 12:00:00,10800.0,0.3749986979211878
41,Activity E,1970-01-01 13:00:00,14400.0,0.4999982638949171
41,,,,
41,Activity K,1970-01-01 14:00:00,18000.0,0.6249978298686463
41,Activity G,1970-01-01 14:00:00,18000.0,0.6249978298686463
41,,1970-01-01 15:00:00,21600.0,0.7499973958423756
41,Activity L,1970-01-01 15:00:00,21600.0,0.7499973958423756
41,,1970-01-01 15:00:00,21600.0,0.7499973958423756
41,Activity J,1970-01-01 15:00:00,21600.0,0.7499973958423756
41,Activity H,,,
